Date;;Thu, 15 Dec 2016 20:59:25 +0000;;;
Cite;;Wessa, P. (2016), Free Statistics Software, Office for Research Development and Education, version 1.1.23-r7, URL http://www.wessa.net/;;;
All rights reserved. Academic license for non-commercial use only.;;;;;
;;;;;
;;;;;
Select a Descriptive Statistics Module in the right panel to use the (log) returns of the (close) time series for analysis.;;;;;
;;;;;
Time Series - JPMorgan Chase;;;;;
Date;Open;High;Low;Close;Log Return
19/7/2010;39.029.999;39.360.001;38.119.999;39.040.001;0.001
20/7/2010;38.32;39.639.999;38.279.999;39.630.001;0.015
21/7/2010;40.25;40.25;38.34;38.419.998;-0.031
22/7/2010;38.959.999;39.599.998;38.73;39.349.998;0.0239
23/7/2010;39.169.998;39.959.999;38.970.001;39.830.002;0.0121
26/7/2010;39.799.999;40.360.001;39.50;40.330.002;0.0125
27/7/2010;40.740.002;41.240.002;40.610.001;40.689.999;0.0089
28/7/2010;40.439.999;40.900.002;40.150.002;40.32;-0.0091
29/7/2010;40.709.999;40.830.002;39.91;40.209.999;-0.0027
30/7/2010;39.720.001;40.689.999;39.720.001;40.279.999;0.0017
2/8/2010;40.98;41.700.001;40.73;41.639.999;0.0332
3/8/2010;41.50;41.650.002;40.869.999;41.080.002;-0.0135
4/8/2010;41.220.001;41.400.002;40.860.001;41.290.001;0.0051
5/8/2010;40.970.001;41.43;40.939.999;41.27;-0.0005
6/8/2010;40.740.002;40.950.001;39.970.001;40.439.999;-0.0203
9/8/2010;40.549.999;40.560.001;39.66;39.82;-0.0155
10/8/2010;39.669.998;39.73;39.16;39.169.998;-0.0165
11/8/2010;38.650.002;38.779.999;37.75;37.77;-0.0364
12/8/2010;37.360.001;37.990.002;37.220.001;37.810.001;0.0011
13/8/2010;37.799.999;38.040.001;37.50;37.50;-0.0082
16/8/2010;37.32;37.82;37.279.999;37.689.999;0.0051
17/8/2010;37.970.001;38.07;37.400.002;37.48;-0.0056
18/8/2010;37.389.999;38.189.999;37.389.999;37.889.999;0.0109
19/8/2010;37.66;37.970.001;37.00;37.07;-0.0219
20/8/2010;37.110.001;37.360.001;36.810.001;37.139.999;0.0019
23/8/2010;37.209.999;37.41;36.84;36.880.001;-0.007
24/8/2010;36.59;36.700.001;35.919.998;36.209.999;-0.0183
25/8/2010;35.950.001;36.439.999;35.669.998;36.23;0.0006
26/8/2010;36.360.001;36.619.999;35.619.999;35.630.001;-0.0167
27/8/2010;35.869.999;36.689.999;35.549.999;36.599.998;0.0269
30/8/2010;36.400.002;36.599.998;35.830.002;35.849.998;-0.0207
31/8/2010;35.939.999;36.639.999;35.73;36.360.001;0.0141
1/9/2010;36.740.002;37.799.999;36.66;37.740.002;0.0373
2/9/2010;37.84;38.200.001;37.490.002;38.16;0.0111
3/9/2010;38.470.001;39.169.998;38.470.001;39.169.998;0.0261
7/9/2010;38.73;38.84;38.220.001;38.279.999;-0.023
8/9/2010;38.34;39.43;38.34;39.119.999;0.0217
9/9/2010;39.93;40.32;39.119.999;40.099.998;0.0247
10/9/2010;39.919.998;40.25;39.669.998;39.759.998;-0.0085
13/9/2010;40.639.999;41.470.001;40.639.999;41.119.999;0.0336
14/9/2010;40.970.001;41.23;40.459.999;40.720.001;-0.0098
15/9/2010;40.509.998;41.139.999;40.34;40.98;0.0064
16/9/2010;40.720.001;41.099.998;40.549.999;40.990.002;0.0002
17/9/2010;41.029.999;41.080.002;39.990.002;40.060.001;-0.0229
20/9/2010;40.240.002;41.310.001;40.029.999;41.189.999;0.0278
21/9/2010;41.310.001;41.50;40.470.001;40.59;-0.0147
22/9/2010;40.43;40.84;39.75;39.939.999;-0.0161
23/9/2010;39.630.001;39.700.001;38.990.002;39.099.998;-0.0213
24/9/2010;39.509.998;39.799.999;39.299.999;39.75;0.0165
27/9/2010;39.540.001;39.669.998;39.009.998;39.080.002;-0.017
28/9/2010;39.360.001;39.400.002;38.610.001;38.950.001;-0.0033
29/9/2010;38.790.001;38.880.001;38.060.001;38.41;-0.014
30/9/2010;38.490.002;38.950.001;37.959.999;38.060.001;-0.0092
1/10/2010;38.34;39.09;38.290.001;38.810.001;0.0195
4/10/2010;38.98;39.540.001;38.709.999;38.950.001;0.0036
5/10/2010;39.360.001;39.82;39.07;39.639.999;0.0176
6/10/2010;39.560.001;40.07;39.419.998;39.900.002;0.0065
7/10/2010;40.110.001;40.32;39.200.001;39.52;-0.0096
8/10/2010;39.669.998;39.779.999;39.130.001;39.310.001;-0.0053
11/10/2010;39.52;39.91;39.400.002;39.73;0.0106
12/10/2010;39.470.001;40.490.002;39.470.001;40.400.002;0.0167
13/10/2010;40.66;40.720.001;39.580.002;39.84;-0.014
14/10/2010;39.25;39.380.001;38.099.998;38.720.001;-0.0285
15/10/2010;38.869.999;38.939.999;36.540.001;37.150.002;-0.0414
18/10/2010;37.150.002;38.259.998;37.009.998;38.200.001;0.0279
19/10/2010;37.900.002;38.650.002;37.50;37.689.999;-0.0134
20/10/2010;38.00;38.299.999;37.459.999;38.099.998;0.0108
21/10/2010;38.189.999;38.400.002;36.209.999;37.700.001;-0.0106
22/10/2010;37.50;37.790.001;37.32;37.700.001;0
25/10/2010;37.970.001;38.07;37.00;37.07;-0.0169
26/10/2010;36.98;37.259.998;36.779.999;37.200.001;0.0035
27/10/2010;37.060.001;37.630.001;37.00;37.540.001;0.0091
28/10/2010;37.700.001;37.959.999;37.330.002;37.509.998;-0.0008
29/10/2010;37.450.001;37.740.002;37.32;37.630.001;0.0032
1/11/2010;37.610.001;38.00;37.099.998;37.419.998;-0.0056
2/11/2010;37.529.999;37.57;36.830.002;36.959.999;-0.0124
3/11/2010;36.98;37.830.002;36.959.999;37.720.001;0.0204
4/11/2010;38.139.999;39.849.998;37.860.001;39.799.999;0.0537
5/11/2010;39.889.999;41.34;39.779.999;40.939.999;0.0282
8/11/2010;40.860.001;41.200.001;40.209.999;40.509.998;-0.0106
9/11/2010;40.43;40.68;39.73;39.900.002;-0.0152
10/11/2010;39.869.999;40.639.999;39.59;40.619.999;0.0179
11/11/2010;40.27;40.439.999;39.849.998;40.02;-0.0149
12/11/2010;39.860.001;40.259.998;39.380.001;39.610.001;-0.0103
15/11/2010;39.82;40.639.999;39.709.999;40.080.002;0.0118
16/11/2010;39.740.002;39.970.001;39.040.001;39.610.001;-0.0118
17/11/2010;39.580.002;39.68;38.98;39.18;-0.0109
18/11/2010;39.57;40.00;39.360.001;39.66;0.0122
19/11/2010;39.41;39.639.999;39.259.998;39.41;-0.0063
22/11/2010;39.060.001;39.099.998;38.209.999;38.509.998;-0.0231
23/11/2010;38.009.998;38.220.001;37.599.998;37.630.001;-0.0231
24/11/2010;37.830.002;38.240.002;37.59;38.16;0.014
26/11/2010;37.709.999;37.98;37.50;37.50;-0.0174
29/11/2010;37.470.001;38.09;37.110.001;37.91;0.0109
30/11/2010;37.490.002;37.790.001;37.240.002;37.400.002;-0.0135
1/12/2010;37.950.001;38.189.999;37.650.002;38.150.002;0.0199
2/12/2010;38.43;39.380.001;38.330.002;39.310.001;0.03
3/12/2010;39.07;39.669.998;38.700.001;39.610.001;0.0076
6/12/2010;39.48;40.049.999;39.299.999;39.900.002;0.0073
7/12/2010;40.349.998;40.459.999;39.240.002;39.25;-0.0164
8/12/2010;39.360.001;40.330.002;39.060.001;40.259.998;0.0254
9/12/2010;40.669.998;41.099.998;40.57;40.810.001;0.0136
10/12/2010;40.889.999;41.50;40.77;41.43;0.0151
13/12/2010;41.57;41.990.002;41.16;41.509.998;0.0019
14/12/2010;41.439.999;41.50;40.470.001;40.790.001;-0.0175
15/12/2010;40.73;41.00;40.060.001;40.209.999;-0.0143
16/12/2010;40.419.998;40.68;39.82;40.009.998;-0.005
17/12/2010;40.060.001;40.07;39.529.999;39.669.998;-0.0085
20/12/2010;39.830.002;40.27;39.689.999;39.950.001;0.007
21/12/2010;40.16;41.240.002;39.98;41.00;0.0259
22/12/2010;41.169.998;42.540.001;41.16;42.16;0.0279
23/12/2010;42.150.002;42.27;41.82;42.080.002;-0.0019
27/12/2010;41.82;42.68;41.799.999;42.669.998;0.0139
28/12/2010;42.700.001;43.119.999;42.470.001;42.610.001;-0.0014
29/12/2010;42.580.002;42.77;42.299.999;42.360.001;-0.0059
30/12/2010;42.310.001;42.470.001;42.049.999;42.23;-0.0031
31/12/2010;42.110.001;42.450.001;42.040.001;42.419.998;0.0045
3/1/2011;43.00;44.040.001;42.959.999;43.580.002;0.027
4/1/2011;43.779.999;44.299.999;43.34;44.16;0.0132
5/1/2011;43.919.998;44.950.001;43.900.002;44.700.001;0.0122
6/1/2011;44.400.002;44.799.999;44.25;44.48;-0.0049
7/1/2011;44.540.001;44.59;42.650.002;43.639.999;-0.0191
10/1/2011;43.27;43.77;43.00;43.400.002;-0.0055
11/1/2011;43.700.001;44.02;43.419.998;43.599.998;0.0046
12/1/2011;44.439.999;44.900.002;44.25;44.709.999;0.0251
13/1/2011;44.939.999;44.970.001;44.169.998;44.450.001;-0.0058
14/1/2011;44.509.998;45.939.999;44.450.001;44.91;0.0103
18/1/2011;45.02;45.419.998;44.50;44.75;-0.0036
19/1/2011;44.549.999;44.970.001;43.599.998;43.709.999;-0.0235
20/1/2011;43.830.002;44.990.002;43.610.001;44.75;0.0235
21/1/2011;45.049.999;45.540.001;44.849.998;45.290.001;0.012
24/1/2011;45.209.999;45.48;44.860.001;45.02;-0.006
25/1/2011;44.82;45.43;44.259.998;44.869.999;-0.0033
26/1/2011;45.200.001;45.48;44.869.999;44.98;0.0024
27/1/2011;44.98;45.380.001;44.689.999;45.099.998;0.0027
28/1/2011;45.049.999;45.880.001;44.400.002;44.540.001;-0.0125
31/1/2011;44.41;45.099.998;44.400.002;44.939.999;0.0089
1/2/2011;45.200.001;46.00;45.16;45.93;0.0218
2/2/2011;45.790.001;45.98;45.34;45.450.001;-0.0105
3/2/2011;45.48;45.75;44.84;45.459.999;0.0002
4/2/2011;45.00;45.169.998;44.299.999;44.59;-0.0193
7/2/2011;44.75;45.75;44.650.002;45.50;0.0202
8/2/2011;45.490.002;45.82;45.310.001;45.740.002;0.0053
9/2/2011;45.360.001;45.50;44.650.002;45.110.001;-0.0139
10/2/2011;45.099.998;45.540.001;44.950.001;45.529.999;0.0093
11/2/2011;45.400.002;46.889.999;45.400.002;46.57;0.0226
14/2/2011;46.599.998;46.900.002;46.470.001;46.540.001;-0.0006
15/2/2011;46.560.001;47.34;46.540.001;46.82;0.006
16/2/2011;47.150.002;48.360.001;47.099.998;47.939.999;0.0236
17/2/2011;47.77;47.990.002;47.50;47.82;-0.0025
18/2/2011;47.82;48.130.001;47.549.999;48.00;0.0038
22/2/2011;47.200.001;47.27;45.849.998;46.009.998;-0.0423
23/2/2011;46.040.001;46.50;45.290.001;45.959.999;-0.0011
24/2/2011;45.630.001;46.060.001;45.209.999;45.91;-0.0011
25/2/2011;46.25;46.860.001;46.119.999;46.68;0.0166
28/2/2011;46.810.001;47.18;46.419.998;46.689.999;0.0002
1/3/2011;46.470.001;46.689.999;45.59;45.599.998;-0.0236
2/3/2011;45.389.999;45.970.001;45.07;45.209.999;-0.0086
3/3/2011;45.720.001;46.330.002;45.709.999;46.080.002;0.0191
4/3/2011;45.98;46.040.001;45.099.998;45.52;-0.0122
7/3/2011;45.619.999;45.650.002;44.759.998;45.189.999;-0.0073
8/3/2011;45.380.001;46.689.999;45.299.999;46.400.002;0.0264
9/3/2011;46.330.002;47.099.998;46.02;46.560.001;0.0034
10/3/2011;46.080.002;46.25;45.259.998;45.529.999;-0.0224
11/3/2011;45.279.999;45.84;45.25;45.740.002;0.0046
14/3/2011;45.419.998;45.540.001;44.630.001;45.299.999;-0.0097
15/3/2011;44.549.999;44.990.002;43.849.998;44.610.001;-0.0153
16/3/2011;44.639.999;44.779.999;43.66;43.810.001;-0.0181
17/3/2011;44.459.999;44.610.001;43.400.002;44.560.001;0.017
18/3/2011;45.240.002;46.18;44.75;45.740.002;0.0261
21/3/2011;46.279.999;46.32;45.32;45.630.001;-0.0024
22/3/2011;45.66;45.709.999;45.349.998;45.470.001;-0.0035
23/3/2011;45.290.001;45.689.999;44.77;45.599.998;0.0029
24/3/2011;45.700.001;45.84;45.09;45.73;0.0028
25/3/2011;45.700.001;46.380.001;45.669.998;45.860.001;0.0028
28/3/2011;46.099.998;46.50;45.950.001;45.959.999;0.0022
29/3/2011;45.830.002;46.040.001;45.52;46.02;0.0013
30/3/2011;46.529.999;46.849.998;46.220.001;46.450.001;0.0093
31/3/2011;46.049.999;46.34;45.959.999;46.099.998;-0.0076
1/4/2011;46.549.999;46.880.001;46.18;46.349.998;0.0054
4/4/2011;46.119.999;46.52;46.049.999;46.34;-0.0002
5/4/2011;46.169.998;46.77;46.049.999;46.580.002;0.0052
6/4/2011;46.810.001;47.73;46.630.001;47.639.999;0.0225
7/4/2011;47.639.999;47.799.999;46.959.999;47.400.002;-0.0051
8/4/2011;47.52;47.66;46.630.001;46.84;-0.0119
11/4/2011;47.00;47.27;46.75;46.860.001;0.0004
12/4/2011;46.549.999;47.110.001;46.25;46.639.999;-0.0047
13/4/2011;47.240.002;47.369.999;45.880.001;46.25;-0.0084
14/4/2011;45.68;45.75;44.91;44.970.001;-0.0281
15/4/2011;45.240.002;45.369.999;44.830.002;44.889.999;-0.0018
18/4/2011;44.27;44.349.998;43.529.999;43.959.999;-0.0209
19/4/2011;44.259.998;44.709.999;43.759.998;44.650.002;0.0156
20/4/2011;44.900.002;44.970.001;43.939.999;44.560.001;-0.002
21/4/2011;44.68;44.84;44.119.999;44.68;0.0027
25/4/2011;44.650.002;45.02;44.380.001;44.610.001;-0.0016
26/4/2011;44.849.998;45.43;44.610.001;45.119.999;0.0114
27/4/2011;45.299.999;45.630.001;45.049.999;45.50;0.0084
28/4/2011;45.610.001;45.93;45.41;45.849.998;0.0077
29/4/2011;45.810.001;46.02;45.400.002;45.630.001;-0.0048
2/5/2011;45.939.999;45.990.002;45.110.001;45.18;-0.0099
3/5/2011;44.950.001;46.07;44.860.001;45.919.998;0.0162
4/5/2011;45.98;46.040.001;45.279.999;45.50;-0.0092
5/5/2011;45.240.002;45.709.999;44.990.002;45.169.998;-0.0073
6/5/2011;45.470.001;45.709.999;44.759.998;45.040.001;-0.0029
9/5/2011;44.75;45.110.001;44.32;44.959.999;-0.0018
10/5/2011;45.060.001;45.50;44.98;45.16;0.0044
11/5/2011;45.02;45.040.001;44.110.001;44.23;-0.0208
12/5/2011;44.099.998;44.330.002;43.549.999;44.09;-0.0032
13/5/2011;44.060.001;44.099.998;42.98;43.150.002;-0.0216
16/5/2011;42.970.001;43.48;42.720.001;42.880.001;-0.0063
17/5/2011;42.68;44.02;42.650.002;43.810.001;0.0215
18/5/2011;43.720.001;44.240.002;43.41;44.080.002;0.0061
19/5/2011;44.32;44.349.998;43.75;44.00;-0.0018
20/5/2011;43.830.002;44.09;43.09;43.130.001;-0.02
23/5/2011;42.400.002;42.900.002;42.299.999;42.549.999;-0.0135
24/5/2011;42.77;42.919.998;41.689.999;42.34;-0.0049
25/5/2011;42.110.001;42.75;42.099.998;42.27;-0.0017
26/5/2011;42.119.999;42.59;42.099.998;42.450.001;0.0042
27/5/2011;42.700.001;43.150.002;42.540.001;42.790.001;0.008
31/5/2011;43.240.002;43.380.001;42.77;43.240.002;0.0105
1/6/2011;42.869.999;42.990.002;41.73;41.759.998;-0.0348
2/6/2011;41.93;42.200.001;40.830.002;41.610.001;-0.0036
3/6/2011;41.09;42.25;41.02;41.57;-0.001
6/6/2011;41.099.998;41.240.002;40.369.999;40.529.999;-0.0253
7/6/2011;40.919.998;41.310.001;40.650.002;40.720.001;0.0047
8/6/2011;40.580.002;41.07;40.200.001;40.389.999;-0.0081
9/6/2011;40.59;41.240.002;40.540.001;40.98;0.0145
10/6/2011;40.59;41.50;40.099.998;41.049.999;0.0017
13/6/2011;41.290.001;41.82;40.720.001;41.669.998;0.015
14/6/2011;42.130.001;42.439.999;41.48;41.610.001;-0.0014
15/6/2011;41.02;41.400.002;40.25;40.68;-0.0226
16/6/2011;40.630.001;40.709.999;39.700.001;40.360.001;-0.0079
17/6/2011;40.849.998;41.060.001;40.540.001;40.799.999;0.0108
20/6/2011;40.50;40.810.001;40.119.999;40.48;-0.0079
21/6/2011;40.68;41.23;40.25;40.91;0.0106
22/6/2011;40.669.998;41.529.999;40.48;40.689.999;-0.0054
23/6/2011;40.119.999;40.25;39.619.999;40.07;-0.0154
24/6/2011;40.049.999;40.18;39.439.999;39.490.002;-0.0146
27/6/2011;39.400.002;40.110.001;39.330.002;39.880.001;0.0098
28/6/2011;40.07;40.07;39.240.002;39.540.001;-0.0086
29/6/2011;40.040.001;40.560.001;39.919.998;40.450.001;0.0228
30/6/2011;40.720.001;41.07;40.369.999;40.939.999;0.012
1/7/2011;40.810.001;41.720.001;40.77;41.580.002;0.0155
5/7/2011;41.509.998;41.509.998;40.970.001;41.029.999;-0.0133
6/7/2011;40.59;40.650.002;40.18;40.560.001;-0.0115
7/7/2011;41.189.999;41.790.001;41.099.998;41.32;0.0186
8/7/2011;40.700.001;40.970.001;40.560.001;40.740.002;-0.0141
11/7/2011;40.189.999;40.220.001;39.290.001;39.43;-0.0327
12/7/2011;39.240.002;40.119.999;39.240.002;39.389.999;-0.001
13/7/2011;39.669.998;40.369.999;39.41;39.619.999;0.0058
14/7/2011;41.18;41.240.002;40.290.001;40.349.998;0.0183
15/7/2011;40.610.001;40.75;39.50;39.98;-0.0092
18/7/2011;39.790.001;40.00;38.93;39.830.002;-0.0038
19/7/2011;39.919.998;40.490.002;39.709.999;40.389.999;0.014
20/7/2011;40.689.999;41.360.001;40.619.999;40.959.999;0.014
21/7/2011;41.57;42.549.999;41.23;42.290.001;0.032
22/7/2011;42.27;42.32;41.759.998;42.189.999;-0.0024
25/7/2011;41.52;41.91;41.290.001;41.689.999;-0.0119
26/7/2011;41.50;41.790.001;41.290.001;41.439.999;-0.006
27/7/2011;41.200.001;41.400.002;40.59;40.669.998;-0.0188
28/7/2011;40.689.999;41.240.002;40.619.999;40.68;0.0002
29/7/2011;40.240.002;40.75;39.900.002;40.450.001;-0.0057
1/8/2011;41.16;41.369.999;39.959.999;40.439.999;-0.0002
2/8/2011;40.099.998;40.380.001;39.84;39.84;-0.0149
3/8/2011;39.759.998;40.02;39.349.998;39.900.002;0.0015
4/8/2011;39.310.001;39.59;37.82;37.919.998;-0.0509
5/8/2011;38.299.999;38.75;36.720.001;37.599.998;-0.0085
8/8/2011;36.23;37.720.001;33.689.999;34.060.001;-0.0989
9/8/2011;35.380.001;36.59;33.689.999;36.400.002;0.0664
10/8/2011;35.52;35.849.998;33.990.002;34.369.999;-0.0574
11/8/2011;34.630.001;37.299.999;34.630.001;36.689.999;0.0653
12/8/2011;37.130.001;37.849.998;35.580.002;35.91;-0.0215
15/8/2011;36.529.999;37.139.999;36.389.999;36.880.001;0.0267
16/8/2011;36.27;36.57;35.77;36.029.999;-0.0233
17/8/2011;36.459.999;37.259.998;36.32;36.57;0.0149
18/8/2011;35.27;35.470.001;34.50;35.189.999;-0.0385
19/8/2011;34.759.998;35.50;34.259.998;34.349.998;-0.0242
22/8/2011;35.119.999;35.18;33.349.998;33.41;-0.0277
23/8/2011;33.290.001;34.799.999;32.310.001;34.779.999;0.0402
24/8/2011;34.82;36.009.998;34.68;35.830.002;0.0297
25/8/2011;37.790.001;38.57;35.419.998;35.720.001;-0.0031
26/8/2011;35.279.999;36.48;34.82;36.209.999;0.0136
29/8/2011;36.82;37.639.999;36.470.001;37.639.999;0.0387
30/8/2011;37.400.002;37.720.001;36.75;37.060.001;-0.0155
31/8/2011;37.419.998;38.029.999;37.220.001;37.560.001;0.0134
1/9/2011;37.619.999;37.82;36.290.001;36.299.999;-0.0341
2/9/2011;35.060.001;35.25;34.509.998;34.630.001;-0.0471
6/9/2011;33.110.001;33.50;32.779.999;33.439.999;-0.035
7/9/2011;34.099.998;34.98;33.869.999;34.82;0.0404
8/9/2011;34.439.999;34.91;33.439.999;33.509.998;-0.0383
9/9/2011;33.080.002;33.200.001;31.93;32.080.002;-0.0436
12/9/2011;31.35;32.419.998;31.209.999;32.419.998;0.0105
13/9/2011;32.810.001;33.41;32.169.998;32.490.002;0.0022
14/9/2011;32.73;33.189.999;31.860.001;32.799.999;0.0095
15/9/2011;33.369.999;33.82;33.130.001;33.810.001;0.0303
16/9/2011;34.049.999;34.27;33.02;33.43;-0.0113
19/9/2011;32.689.999;32.889.999;32.130.001;32.490.002;-0.0285
20/9/2011;32.77;32.799.999;32.240.002;32.25;-0.0074
21/9/2011;32.23;32.450.001;30.26;30.34;-0.0611
22/9/2011;29.35;29.629.999;28.530.001;29.27;-0.0359
23/9/2011;28.959.999;29.799.999;28.860.001;29.59;0.0109
26/9/2011;30.059.999;31.809.999;29.959.999;31.65;0.0673
27/9/2011;32.619.999;33.130.001;31.25;31.57;-0.0025
28/9/2011;31.620.001;32.00;30.42;30.469.999;-0.0355
29/9/2011;31.58;32.110.001;30.440.001;31.389.999;0.0297
30/9/2011;30.74;30.950.001;30.110.001;30.120.001;-0.0413
3/10/2011;30.030.001;30.700.001;28.639.999;28.65;-0.05
4/10/2011;28.25;30.43;27.85;30.26;0.0547
5/10/2011;30.23;31.17;29.40;30.84;0.019
6/10/2011;30.709.999;32.459.999;30.42;32.380.001;0.0487
7/10/2011;32.580.002;32.610.001;30.65;30.700.001;-0.0533
10/10/2011;31.60;32.32;31.58;32.299.999;0.0508
11/10/2011;31.98;32.68;31.41;32.299.999;0
12/10/2011;32.759.998;33.869.999;32.689.999;33.200.001;0.0275
13/10/2011;32.450.001;32.490.002;30.92;31.60;-0.0494
14/10/2011;31.870.001;32.32;31.40;31.889.999;0.0091
17/10/2011;31.639.999;32.09;30.969.999;31.040.001;-0.027
18/10/2011;31.360.001;33.419.998;31.139.999;32.869.999;0.0573
19/10/2011;32.77;34.009.998;32.029.999;32.25;-0.019
20/10/2011;32.32;33.189.999;31.67;33.130.001;0.0269
21/10/2011;33.48;34.040.001;33.009.998;33.419.998;0.0087
24/10/2011;33.610.001;34.689.999;33.57;34.57;0.0338
25/10/2011;34.18;34.25;33.360.001;33.490.002;-0.0317
26/10/2011;34.110.001;34.41;33.50;34.18;0.0204
27/10/2011;36.560.001;37.540.001;35.700.001;37.02;0.0798
28/10/2011;36.610.001;36.98;36.189.999;36.689.999;-0.009
31/10/2011;35.93;36.00;34.73;34.759.998;-0.054
1/11/2011;32.470.001;33.639.999;31.84;32.709.999;-0.0608
2/11/2011;33.709.999;33.740.002;33.060.001;33.639.999;0.028
3/11/2011;34.119.999;34.52;32.84;34.380.001;0.0218
4/11/2011;33.990.002;34.060.001;33.450.001;33.970.001;-0.012
7/11/2011;34.029.999;34.34;33.709.999;34.240.002;0.0079
8/11/2011;34.529.999;35.18;34.02;35.02;0.0225
9/11/2011;33.84;33.990.002;32.380.001;32.540.001;-0.0734
10/11/2011;32.919.998;33.23;32.279.999;32.740.002;0.0061
11/11/2011;33.279.999;33.849.998;33.02;33.279.999;0.0164
14/11/2011;32.950.001;32.98;32.220.001;32.549.999;-0.0222
15/11/2011;32.09;33.110.001;32.080.002;32.700.001;0.0046
16/11/2011;32.34;32.490.002;31.40;31.469.999;-0.0383
17/11/2011;31.40;31.50;30.34;30.49;-0.0316
18/11/2011;30.67;30.85;30.33;30.620.001;0.0043
21/11/2011;30.02;30.190.001;29.60;29.91;-0.0235
22/11/2011;29.90;30.10;29.379.999;29.41;-0.0169
23/11/2011;29.110.001;29.15;28.33;28.379.999;-0.0357
25/11/2011;28.280.001;29.17;28.280.001;28.48;0.0035
28/11/2011;29.709.999;30.07;28.82;29.16;0.0236
29/11/2011;28.98;29.129.999;28.48;28.559.999;-0.0208
30/11/2011;30.15;31.00;29.799.999;30.969.999;0.081
1/12/2011;30.860.001;30.969.999;30.030.001;30.459.999;-0.0166
2/12/2011;30.879.999;33.27;30.809.999;32.330.002;0.0596
5/12/2011;33.639.999;34.099.998;33.220.001;33.509.998;0.0358
6/12/2011;33.259.998;33.580.002;32.68;33.23;-0.0084
7/12/2011;32.82;34.189.999;32.720.001;34.00;0.0229
8/12/2011;33.549.999;33.700.001;32.080.002;32.220.001;-0.0538
9/12/2011;32.360.001;33.310.001;32.360.001;33.18;0.0294
12/12/2011;32.549.999;32.599.998;31.76;32.040.001;-0.035
13/12/2011;32.369.999;32.630.001;30.870.001;31.290.001;-0.0237
14/12/2011;30.879.999;31.940.001;30.83;31.51;0.007
15/12/2011;32.099.998;32.279.999;31.57;31.76;0.0079
16/12/2011;32.16;32.599.998;31.809.999;31.889.999;0.0041
19/12/2011;31.870.001;31.90;30.42;30.700.001;-0.038
20/12/2011;31.40;32.439.999;31.24;32.209.999;0.048
21/12/2011;32.00;32.41;31.90;32.32;0.0034
22/12/2011;32.689.999;33.549.999;32.540.001;33.450.001;0.0344
23/12/2011;33.619.999;33.700.001;33.130.001;33.57;0.0036
27/12/2011;33.220.001;33.689.999;33.029.999;33.029.999;-0.0162
28/12/2011;32.990.002;33.09;32.57;32.650.002;-0.0116
29/12/2011;32.709.999;33.52;32.709.999;33.419.998;0.0233
30/12/2011;33.110.001;33.419.998;33.060.001;33.25;-0.0051
3/1/2012;34.060.001;35.189.999;34.009.998;34.98;0.0507
4/1/2012;34.439.999;35.150.002;34.330.002;34.950.001;-0.0009
5/1/2012;34.709.999;35.919.998;34.400.002;35.68;0.0207
6/1/2012;35.689.999;35.77;35.139.999;35.360.001;-0.009
9/1/2012;35.439.999;35.68;34.990.002;35.299.999;-0.0017
10/1/2012;36.07;36.349.998;35.759.998;36.049.999;0.021
11/1/2012;35.799.999;36.740.002;35.66;36.66;0.0168
12/1/2012;36.82;37.049.999;36.169.998;36.849.998;0.0052
13/1/2012;35.259.998;35.919.998;35.130.001;35.919.998;-0.0256
17/1/2012;34.849.998;35.68;34.50;34.91;-0.0285
18/1/2012;34.540.001;36.68;34.529.999;36.540.001;0.0456
19/1/2012;36.84;37.150.002;36.709.999;36.93;0.0106
20/1/2012;36.779.999;37.400.002;36.619.999;37.360.001;0.0116
23/1/2012;37.310.001;37.939.999;37.27;37.66;0.008
24/1/2012;37.18;37.889.999;36.799.999;37.66;0
25/1/2012;37.360.001;37.82;37.119.999;37.599.998;-0.0016
26/1/2012;37.880.001;38.099.998;37.25;37.490.002;-0.0029
27/1/2012;37.23;37.66;37.150.002;37.209.999;-0.0075
30/1/2012;36.66;37.169.998;36.360.001;37.009.998;-0.0054
31/1/2012;37.529.999;37.540.001;36.93;37.299.999;0.0078
1/2/2012;37.889.999;38.029.999;37.50;37.599.998;0.008
2/2/2012;37.689.999;38.16;37.419.998;37.549.999;-0.0013
3/2/2012;38.27;38.50;38.049.999;38.279.999;0.0193
6/2/2012;38.060.001;38.32;37.810.001;38.139.999;-0.0037
7/2/2012;37.860.001;38.119.999;37.700.001;37.869.999;-0.0071
8/2/2012;38.049.999;38.349.998;37.970.001;38.299.999;0.0113
9/2/2012;38.599.998;38.68;37.84;37.860.001;-0.0116
10/2/2012;37.220.001;37.77;37.110.001;37.610.001;-0.0066
13/2/2012;38.080.002;38.34;37.779.999;38.299.999;0.0182
14/2/2012;38.23;38.259.998;37.439.999;37.919.998;-0.01
15/2/2012;38.080.002;38.400.002;37.310.001;37.400.002;-0.0138
16/2/2012;37.150.002;38.119.999;37.049.999;38.00;0.0159
17/2/2012;38.599.998;38.639.999;38.23;38.470.001;0.0123
21/2/2012;38.650.002;38.970.001;38.41;38.459.999;-0.0003
22/2/2012;38.299.999;38.389.999;37.900.002;38.07;-0.0102
23/2/2012;38.060.001;38.52;37.75;38.490.002;0.011
24/2/2012;38.66;38.68;38.189.999;38.279.999;-0.0055
27/2/2012;38.07;39.23;37.790.001;39.060.001;0.0202
