Date;;Thu, 15 Dec 2016 20:59:25 +0000;;;
Cite;;Wessa, P. (2016), Free Statistics Software, Office for Research Development and Education, version 1.1.23-r7, URL http://www.wessa.net/;;;
All rights reserved. Academic license for non-commercial use only.;;;;;
;;;;;
;;;;;
Select a Descriptive Statistics Module in the right panel to use the (log) returns of the (close) time series for analysis.;;;;;
;;;;;
Time Series - JPMorgan Chase;;;;;
Date;Open;High;Low;Close;Log Return
15/5/2009;35.450.001;35.68;34.400.002;34.91;-0.0179
18/5/2009;35.709.999;37.349.998;35.200.001;37.259.998;0.0651
19/5/2009;37.299.999;37.68;35.77;35.810.001;-0.0397
20/5/2009;36.610.001;36.759.998;34.259.998;34.549.999;-0.0358
21/5/2009;34.189.999;35.360.001;33.669.998;34.900.002;0.0101
22/5/2009;35.259.998;35.299.999;34.41;34.41;-0.0141
26/5/2009;34.119.999;36.560.001;34.119.999;36.540.001;0.0601
27/5/2009;36.50;36.720.001;34.66;34.66;-0.0528
28/5/2009;35.139.999;36.669.998;34.599.998;36.650.002;0.0558
29/5/2009;36.349.998;37.07;35.68;36.900.002;0.0068
1/6/2009;37.400.002;37.73;35.77;36.110.001;-0.0216
2/6/2009;35.07;35.52;34.450.001;34.50;-0.0456
3/6/2009;34.400.002;34.970.001;33.650.002;33.98;-0.0152
4/6/2009;34.400.002;35.439.999;34.23;35.349.998;0.0395
5/6/2009;35.720.001;35.759.998;34.50;34.549.999;-0.0229
8/6/2009;34.549.999;35.73;34.549.999;35.389.999;0.024
9/6/2009;35.720.001;35.779.999;35.09;35.259.998;-0.0037
10/6/2009;35.57;35.669.998;34.369.999;34.84;-0.012
11/6/2009;35.07;35.869.999;34.540.001;34.939.999;0.0029
12/6/2009;34.860.001;35.439.999;34.799.999;35.130.001;0.0054
15/6/2009;34.880.001;35.040.001;33.93;34.00;-0.0327
16/6/2009;34.27;34.389.999;33.380.001;33.50;-0.0148
17/6/2009;33.43;33.52;32.18;32.73;-0.0233
18/6/2009;32.849.998;34.310.001;32.84;34.169.998;0.0431
19/6/2009;34.650.002;35.119.999;33.790.001;35.00;0.024
22/6/2009;34.689.999;35.00;32.860.001;32.869.999;-0.0628
23/6/2009;33.110.001;34.09;32.93;33.57;0.0211
24/6/2009;33.779.999;33.93;33.07;33.459.999;-0.0033
25/6/2009;33.48;34.18;32.810.001;34.139.999;0.0201
26/6/2009;33.880.001;34.740.002;33.48;34.450.001;0.009
29/6/2009;34.549.999;34.700.001;34.040.001;34.599.998;0.0043
30/6/2009;34.599.998;34.790.001;33.869.999;34.110.001;-0.0143
1/7/2009;34.27;34.57;33.650.002;33.77;-0.01
2/7/2009;33.360.001;33.77;32.27;32.27;-0.0454
6/7/2009;32.029.999;32.599.998;31.59;32.599.998;0.0102
7/7/2009;32.630.001;33.400.002;32.130.001;32.810.001;0.0064
8/7/2009;32.93;33.490.002;31.790.001;32.709.999;-0.0031
9/7/2009;32.889.999;33.75;32.869.999;33.619.999;0.0274
10/7/2009;33.310.001;33.669.998;32.209.999;32.34;-0.0388
13/7/2009;32.869.999;34.709.999;32.43;34.709.999;0.0707
14/7/2009;34.529.999;35.09;34.060.001;34.700.001;-0.0003
15/7/2009;35.110.001;36.77;35.009.998;36.259.998;0.044
16/7/2009;35.50;36.41;35.220.001;36.130.001;-0.0036
17/7/2009;36.419.998;37.200.001;36.18;36.889.999;0.0208
20/7/2009;37.02;37.439.999;36.59;36.98;0.0024
21/7/2009;37.200.001;37.310.001;36.599.998;36.939.999;-0.0011
22/7/2009;36.400.002;37.330.002;36.209.999;36.830.002;-0.003
23/7/2009;36.950.001;38.470.001;36.57;38.150.002;0.0352
24/7/2009;38.049.999;38.25;37.400.002;37.919.998;-0.006
27/7/2009;37.970.001;39.470.001;37.57;38.130.001;0.0055
28/7/2009;37.740.002;38.200.001;37.650.002;38.080.002;-0.0013
29/7/2009;37.790.001;38.240.002;37.439.999;37.77;-0.0082
30/7/2009;38.130.001;39.279.999;37.900.002;38.470.001;0.0184
31/7/2009;38.380.001;38.650.002;37.93;38.650.002;0.0047
3/8/2009;39.119.999;39.75;38.990.002;39.599.998;0.0243
4/8/2009;39.27;40.50;39.169.998;40.209.999;0.0153
5/8/2009;40.34;42.200.001;40.259.998;41.779.999;0.0383
6/8/2009;42.279.999;42.459.999;40.220.001;40.75;-0.025
7/8/2009;41.279.999;43.130.001;41.18;42.360.001;0.0387
10/8/2009;42.029.999;43.220.001;42.009.998;42.689.999;0.0078
11/8/2009;42.279.999;42.509.998;40.939.999;41.240.002;-0.0346
12/8/2009;41.189.999;42.450.001;41.029.999;42.209.999;0.0232
13/8/2009;42.73;43.00;41.810.001;42.900.002;0.0162
14/8/2009;42.630.001;42.849.998;41.799.999;42.450.001;-0.0105
17/8/2009;41.209.999;41.580.002;40.709.999;40.73;-0.0414
18/8/2009;41.099.998;41.880.001;41.060.001;41.700.001;0.0235
19/8/2009;41.150.002;41.900.002;41.00;41.41;-0.007
20/8/2009;41.529.999;42.630.001;41.48;42.419.998;0.0241
21/8/2009;42.860.001;43.810.001;42.529.999;43.66;0.0288
24/8/2009;43.860.001;44.240.002;42.950.001;43.009.998;-0.015
25/8/2009;43.389.999;44.139.999;43.299.999;43.580.002;0.0132
26/8/2009;43.389.999;43.779.999;42.919.998;43.299.999;-0.0064
27/8/2009;43.049.999;43.630.001;42.540.001;43.450.001;0.0035
28/8/2009;43.810.001;43.860.001;42.509.998;42.919.998;-0.0123
31/8/2009;42.439.999;43.599.998;42.060.001;43.459.999;0.0125
1/9/2009;43.080.002;43.82;41.560.001;41.669.998;-0.0421
2/9/2009;41.509.998;42.110.001;40.75;40.860.001;-0.0196
3/9/2009;41.23;42.25;41.110.001;42.110.001;0.0301
4/9/2009;42.330.002;42.490.002;41.790.001;42.34;0.0054
8/9/2009;42.790.001;43.040.001;41.849.998;42.540.001;0.0047
9/9/2009;42.599.998;43.07;42.389.999;42.860.001;0.0075
10/9/2009;42.73;43.150.002;42.200.001;43.02;0.0037
11/9/2009;43.130.001;43.389.999;42.48;42.50;-0.0122
14/9/2009;42.080.002;43.849.998;42.009.998;43.75;0.029
15/9/2009;43.610.001;44.200.001;42.549.999;43.189.999;-0.0129
16/9/2009;43.349.998;44.68;43.209.999;44.650.002;0.0332
17/9/2009;44.290.001;45.110.001;44.200.001;44.959.999;0.0069
18/9/2009;45.240.002;45.34;44.700.001;44.950.001;-0.0002
21/9/2009;44.540.001;44.799.999;44.220.001;44.549.999;-0.0089
22/9/2009;44.810.001;46.490.002;44.48;46.470.001;0.0422
23/9/2009;46.400.002;46.50;44.98;45.060.001;-0.0308
24/9/2009;45.209.999;45.799.999;44.259.998;44.369.999;-0.0154
25/9/2009;44.150.002;44.279.999;43.34;43.650.002;-0.0164
28/9/2009;43.970.001;44.830.002;43.689.999;44.810.001;0.0262
29/9/2009;44.889.999;45.200.001;44.43;44880001;0.0016
30/9/2009;44.799.999;44.889.999;43.43;43.82;-0.0239
1/10/2009;43.400.002;43.560.001;41.360.001;41.369.999;-0.0575
2/10/2009;40.82;42.400.002;40.529.999;41.860.001;0.0118
5/10/2009;42.48;43.93;42.349.998;43.799.999;0.0453
